,state,n_households,percent_pet_households,n_pet_households,percent_dog_owners,n_dog_households,avg_dogs_per_household,dog_population,percent_cat_owners,n_cat_households,avg_cats_per_household,cat_population,lon,lat,city
0,Alabama,1828,59.5,1088,44.1,807,1.7,1410,27.4,501,2.5,1252,-86.279118,32.361538,Montgomery
1,Arizona,2515,59.5,1497,40.1,1008,1.8,1798,29.6,743,1.9,1438,-112.073844,33.448457,Phoenix
2,Arkansas,1148,62.4,716,47.9,550,2.0,1097,30.6,351,2.3,810,-92.331122,34.736009,Little Rock
3,California,12974,52.9,6865,32.8,4260,1.6,6687,28.3,3687,1.9,7118,-121.468926,38.555605,Sacramento
4,Colorado,1986,61.3,1217,42.5,845,1.6,1349,32.3,642,1.9,1191,-104.984167,39.7391667,Denver
5,Connecticut,1337,54.4,728,28.3,379,1.3,507,31.9,427,1.9,796,-72.677,41.767,Hartford
6,Delaware,334,56.6,189,33.7,113,1.4,163,33.7,113,1.7,187,-75.526755,39.161921,Dover
7,Florida,7609,54.4,4138,35.7,2718,1.5,4210,27.3,2079,2.1,4375,-84.27277,30.4518,Tallahassee
8,Georgia,3798,55.1,2093,40.1,1522,1.6,2479,27.3,1037,2.1,2162,-84.39,33.76,Atlanta
9,Idaho,568,62.0,352,42.7,242,1.5,357,34.6,196,2.0,393,-116.237651,43.613739,Boise
10,Illinois,5026,51.8,2602,32.4,1627,1.5,2365,26.3,1321,1.9,2453,-89.650373,39.78325,Springfield
11,Indiana,2478,59.9,1484,39.9,989,1.6,1619,34.4,852,2.2,1912,-86.147685,39.790942,Indianapolis
12,Iowa,1219,53.6,654,33.4,407,1.5,610,30.3,370,2.2,805,-93.620866,41.590939,Des Moines
13,Kansas,1133,61.0,691,42.3,480,1.6,774,33.3,378,1.9,731,-95.69,39.04,Topeka
14,Kentucky,1777,61.6,1094,45.9,816,1.9,1531,36.8,654,2.1,1349,-84.86311,38.197274,Frankfort
15,Louisiana,1702,55.1,937,36.4,619,1.8,1115,25.9,441,2.0,877,-91.140229,30.45809,Baton Rouge
16,Maine,548,62.9,345,34.6,190,1.6,300,46.4,254,1.9,498,-69.765261,44.323535,Augusta
17,Maryland,2169,52.3,1134,30.8,667,1.4,915,29.8,645,2.6,1677,-76.501157,38.972945,Annapolis
18,Massachusetts,2618,50.4,1318,23.6,618,1.4,850,34.1,892,1.8,1593,-71.0275,42.2352,Boston
19,Michigan,3804,55.4,2108,34.6,1318,1.5,2036,31.3,1192,2.0,2420,-84.5467,42.7335,Lansing
20,Minnesota,2163,53.0,1146,31.9,690,1.4,934,29.7,643,2.0,1264,-93.094,44.95,Saint Paul
21,Mississippi,1115,56.4,629,45.2,504,1.7,846,29.1,324,2.1,668,-90.207,32.32,Jackson
22,Missouri,2498,61.4,1534,45.9,1148,1.7,1978,32.2,805,2.1,1653,-92.189283,38.572954,Jefferson City
23,Montana,410,61.3,251,41.2,169,1.7,282,33.6,138,2.0,277,-112.027031,46.595805,Helena
24,Nebraska,710,51.3,364,33.8,240,1.6,374,31.3,222,2.3,514,-96.675345,40.809868,Lincoln
25,Nevada,986,55.6,548,37.1,366,1.6,578,30.3,299,2.1,625,-119.753877,39.160949,Carson City
26,New Hampshire,508,56.8,289,30.3,154,1.4,212,34.2,174,1.8,309,-71.549127,43.220093,Concord
27,New Jersey,3177,50.7,1611,32.4,1028,1.3,1340,25.3,803,1.8,1468,-74.756138,40.221741,Trenton
28,New Mexico,773,67.6,523,46.0,356,2.0,703,32.0,247,2.2,533,-105.964575,35.667231,Santa Fe
29,New York,7512,50.6,3802,29.0,2177,1.4,3054,29.1,2189,1.9,4261,-73.781339,42.659829,Albany
30,North Carolina,3701,56.4,2089,40.3,1491,1.7,2518,29.5,1090,2.0,2220,-78.638,35.771,Raleigh
31,North Dakota,272,53.9,147,36.1,98,1.4,139,31.4,85,2.0,174,-100.779004,48.813343,Bismarck
32,Ohio,4661,57.4,2677,36.6,1708,1.6,2730,33.3,1553,2.4,3786,-83.000647,39.962245,Columbus
33,Oklahoma,1479,58.9,872,43.2,638,2.1,1327,32.6,482,2.2,1041,-97.534994,35.482309,Oklahoma City
34,Oregon,1505,63.6,957,38.8,584,1.6,917,40.2,605,2.0,1185,-123.029159,44.931109,Salem
35,Pennsylvania,5172,56.9,2942,32.9,1702,1.5,2485,33.8,1748,2.0,3544,-76.875613,40.269789,Harrisburg
36,Rhode Island,434,53.0,230,29.3,127,1.3,161,27.6,120,1.8,212,-71.422132,41.82355,Providence
37,South Carolina,1759,54.1,951,38.6,678,1.8,1191,27.8,490,2.1,1039,-81.035,34.0,Columbia
38,South Dakota,333,65.6,219,42.8,143,1.5,220,39.1,130,2.2,290,-100.336378,44.367966,Pierre
39,Tennessee,2583,59.6,1540,44.1,1140,1.9,2157,29.8,770,2.3,1749,-86.784,36.165,Nashville
40,Texas,9002,58.5,5265,44.0,3960,1.8,7163,28.3,2544,2.2,5565,-97.75,30.266667,Austin
41,Utah,930,51.2,476,29.4,273,1.5,410,24.6,229,2.0,455,-111.892622,40.7547,Salt Lake City
42,Vermont,265,70.8,188,37.7,100,1.4,142,49.5,131,1.8,234,-72.57194,44.26639,Montpelier
43,Virginia,3017,53.4,1611,35.4,1069,1.6,1699,29.0,876,2.1,1855,-77.46,37.54,Richmond
44,Washington,2632,62.7,1649,36.3,954,1.7,1609,39.0,1028,1.8,1844,-122.893077,47.042418,Olympia
45,West Virginia,765,62.1,475,45.8,350,1.8,648,38.1,291,2.2,628,-81.633294,38.349497,Charleston
46,Wisconsin,2350,57.5,1352,33.9,796,1.4,1138,33.0,776,1.9,1510,-89.384444,43.074722,Madison
47,Wyoming,221,61.8,137,38.8,86,1.5,125,33.9,75,1.9,144,-104.802042,41.145548,Cheyenne
